Value,Measurement,Hour ,Plate,BioRep,Unique
741050000,Live,25,Monoculture,1,1
776050000,Live,25,Monoculture,1,2
585000000,Live,25,Monoculture,1,3
674700000,Live,25,Monoculture,1,4
871850000,Live,25,Monoculture,1,5
874350000,Live,30,Monoculture,1,1
1099035000,Live,30,Monoculture,1,2
709065000,Live,30,Monoculture,1,3
941355000,Live,30,Monoculture,1,4
803790000,Live,30,Monoculture,1,5
1480590000,Live,35,Monoculture,1,1
974835000,Live,35,Monoculture,1,2
1517580000,Live,35,Monoculture,1,3
1445175000,Live,35,Monoculture,1,4
1188495000,Live,35,Monoculture,1,5
1271070000,Live,40,Monoculture,1,1
2140920000,Live,40,Monoculture,1,2
2011905000,Live,40,Monoculture,1,3
1438560000,Live,40,Monoculture,1,4
1983555000,Live,40,Monoculture,1,5
1596690000,Live,45,Monoculture,1,1
2045250000,Live,45,Monoculture,1,2
2332035000,Live,45,Monoculture,1,3
1834965000,Live,45,Monoculture,1,4
1531485000,Live,45,Monoculture,1,5
492345000,Live,25,w/C.violaceum,1,1
526571500,Live,25,w/C.violaceum,1,2
795756500,Live,25,w/C.violaceum,1,3
874328000,Live,25,w/C.violaceum,1,4
1053850000,Live,25,w/C.violaceum,1,5
745360000,Live,30,w/C.violaceum,1,1
699510000,Live,30,w/C.violaceum,1,2
904785000,Live,30,w/C.violaceum,1,3
754320000,Live,30,w/C.violaceum,1,4
1216775000,Live,30,w/C.violaceum,1,5
623455000,Live,35,w/C.violaceum,1,1
607460000,Live,35,w/C.violaceum,1,2
1251040000,Live,35,w/C.violaceum,1,3
708225000,Live,35,w/C.violaceum,1,4
1475775000,Live,35,w/C.violaceum,1,5
1009050000,Live,40,w/C.violaceum,1,1
877730000,Live,40,w/C.violaceum,1,2
1879080000,Live,40,w/C.violaceum,1,3
1310855000,Live,40,w/C.violaceum,1,4
2825900000,Live,40,w/C.violaceum,1,5
930020000,Live,45,w/C.violaceum,1,1
915530000,Live,45,w/C.violaceum,1,2
1214535000,Live,45,w/C.violaceum,1,3
1766835000,Live,45,w/C.violaceum,1,4
1682520000,Live,45,w/C.violaceum,1,5
