,PC1,Run Order,QC
R4_35-1,34.691,6,Experimental Sample
R1_25-1,0.32125,7,Experimental Sample
R1_15-1,-50.839,10,Experimental Sample
R3_15-1,-36.693,11,Experimental Sample
R2_20-1,-24.647,12,Experimental Sample
R3_20-1,-22.197,14,Experimental Sample
QC_1,10.468,15,Quality Control Sample
R1_35-1,19,16,Experimental Sample
R4_15-1,-48.383,17,Experimental Sample
R2_35-1,29.893,18,Experimental Sample
R2_25-1,-5.7171,20,Experimental Sample
R3_35-1,41.337,22,Experimental Sample
R4_30-1,24.238,23,Experimental Sample
R1_20-1,-28.927,24,Experimental Sample
QC_2,10.806,25,Quality Control Sample
R3_30-1,28.116,27,Experimental Sample
R1_30-1,28.117,28,Experimental Sample
R2_30-1,21.092,29,Experimental Sample
R3_25-1,11.075,30,Experimental Sample
R4_20-1,-16.516,31,Experimental Sample
R4_25-1,7.1517,32,Experimental Sample
R2_15-1,-47.281,34,Experimental Sample
QC_3,10.378,35,Quality Control Sample
R3_35-2,39.545,36,Experimental Sample
R3_20-2,-19.445,37,Experimental Sample
R2_20-2,-22.365,38,Experimental Sample
R4_25-2,6.9606,39,Experimental Sample
R1_25-2,0.483,41,Experimental Sample
R4_30-2,23.421,43,Experimental Sample
R2_30-2,19.61,44,Experimental Sample
QC_4,9.8985,45,Quality Control Sample
R4_15-2,-44.647,46,Experimental Sample
R4_35-2,34.824,47,Experimental Sample
R1_15-2,-43.861,48,Experimental Sample
R1_35-2,18.282,49,Experimental Sample
R3_25-2,9.7378,52,Experimental Sample
R2_25-2,-4.7051,53,Experimental Sample
QC_5,10.344,55,Quality Control Sample
R3_15-2,-33.581,57,Experimental Sample
R2_15-2,-45.823,58,Experimental Sample
R4_20-2,-15.979,59,Experimental Sample
R1_30-2,25.754,60,Experimental Sample
R1_20-2,-27.046,62,Experimental Sample
R2_35-2,27.365,63,Experimental Sample
R3_30-2,26.573,64,Experimental Sample
QC_6,9.1713,65,Quality Control Sample
