,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
600.987578810307/716.411201829581,16.109378,16.093587,16.109378,16.100617,15.999343,15.863285
551.979177374589/734.288142210469,17.64464,17.68222,17.67536,17.62426,17.5764,17.46877
553.087545829907/736.285491596611,17.12065,17.19221,17.16788,17.07753,17.10429,16.8904
666.216563442297/298.179119154227,16.68482,16.51863,16.44334,16.27215,16.17703,16.09222
671.458654570998/282.1842462503,17.91844,17.70811,17.59711,17.88201,17.79335,17.5249
601.289013243558/717.413930163614,14.840355,14.836863,14.822149,14.753612,14.697138,14.594911
551.949042069285/735.291826884808,16.0711,16.12151,16.10685,16.01555,15.97509,15.83808
599.109802246094/717.413812286986,14.840355,14.836863,14.822149,14.753612,14.697138,14.594911
392.169738234135/562.166461223046,16.3317,15.4583,15.61572,15.30186,15.23873,15.399
390.882614938836/608.172548766635,15.42904,16.19022,16.07538,16.2088,16.17662,15.74665
527.057950739275/592.175834804665,13.532367,14.338029,14.182316,14.174552,14.064634,13.598136
524.742445025528/546.166229918135,14.753881,13.698041,13.774554,13.221635,13.24142,13.602006
558.666177314624/737.288807011719,15.42305,15.44307,15.42618,15.30771,15.34052,15.16345
539.091011984306/750.28345229014,15.62539,15.53008,15.58685,15.55856,15.47508,15.30783
669.498318856223/283.188827016477,15.48029,15.23794,15.16041,15.46234,15.35325,15.09275
968.907877604167/763.512453070239,14.611091,14.628609,14.696279,14.66472,14.578927,14.359639
541.29784192537/752.281081789882,15.12914,14.91667,15.05303,14.92237,14.89624,14.71375
44.1477015980503/381.062647470231,14.88347,14.65354,14.59904,14.39873,14.45523,14.33562
365.790144535533/550.070697169693,13.848993,13.967794,13.904118,13.828298,13.882391,13.513162
557.557306122362/738.284512461091,14.648864,14.638786,14.524497,14.458077,14.438853,14.412907
601.584280984444/716.40901956251,16.109378,16.093587,16.109378,16.100617,15.999343,15.863285
515.054740504215/692.103659667528,13.783017,13.800652,13.987861,13.583407,14.07875,13.644304
599.140386213336/718.417799911378,12.344896,12.358067,12.259768,12.291563,12.148725,12.080929
667.36033228824/299.183248236955,14.13111,13.94452,13.87732,13.62173,13.56096,13.45865
669.863786663925/597.365685062073,12.190416,12.041205,11.904261,11.811784,11.787892,11.615645
662.731755842242/291.158078037932,14.25971,14.25521,13.9934,13.93128,13.90297,13.69559
44.9006668893914/383.060084250504,14.214269,13.980118,13.871355,13.72603,13.697455,13.534439
356.228830973307/594.154844733475,13.76694,14.38672,14.25813,14.25227,14.24675,13.89675
1023.9098532158/789.530253987113,13.135994,13.02553,12.915036,12.951852,12.839421,12.930123
394.314895897581/562.167082894572,16.3317,15.4583,15.61572,15.30186,15.23873,15.399
353.999024508292/548.152987772921,14.66532,13.60598,13.68117,13.27344,13.31526,13.49553
356.871902198122/548.153181335772,14.66532,13.60598,13.68117,13.27344,13.31526,13.49553
969.288242273163/829.482837082825,13.496533,13.541208,13.590558,13.564651,13.475729,13.33844
500.834769265694/532.138431177123,13.119875,11.897023,12.122391,11.988276,12.11696,12.179989
561.570035164816/528.210370962477,13.149175,12.107405,12.123214,11.56197,11.134008,11.502742
478.359417296292/578.166553440593,11.997743,12.649532,12.52807,12.892325,12.973955,12.526924
595.53171900699/718.417313235971,12.344896,12.358067,12.259768,12.291563,12.148725,12.080929
973.355987013432/861.424590302078,12.528195,12.506588,12.48184,12.721161,12.665475,12.375226
974.67014888295/1524.00674552547,9.840896,9.736827,9.964597,9.725127,9.915389,9.483832
386.142757482696/609.175408763239,13.14738,14.107173,13.912795,13.966705,14.137357,13.687888
394.965212637918/563.173236797478,14.25489,13.25204,13.36889,13.02504,12.98313,13.39278
539.418886954324/751.285245342011,13.92003,13.75971,13.84642,13.69755,13.73891,13.46586
598.917404442503/716.410379679524,16.109378,16.093587,16.109378,16.100617,15.999343,15.863285
911.890490080181/733.47627571687,12.331585,12.310745,12.338867,12.775707,12.781631,12.512133
