""	"id"	"mass"	"RT"	"XS.2015_08_7_013_R1_15_TECHREP1_ESIN01"	"XS.2015_08_7_014_R3_15_TECHREP1_ESIN01"	"XS.2015_08_7_020_R4_15_TECHREP1_ESIN01"	"XS.2015_08_7_037_R2_15_TECHREP1_ESIN01"	"XS.2015_08_7_049_R4_15_TECHREP2_ESIN01"	"XS.2015_08_7_051_R1_15_TECHREP2_ESIN01"	"XS.2015_08_7_060_R3_15_TECHREP2_ESIN01"	"XS.2015_08_7_061_R2_15_TECHREP2_ESIN01"	"XS.2015_08_7_015_R2_20_TECHREP1_ESIN01"	"XS.2015_08_7_017_R3_20_TECHREP1_ESIN01"	"XS.2015_08_7_027_R1_20_TECHREP1_ESIN01"	"XS.2015_08_7_034_R4_20_TECHREP1_ESIN01"	"XS.2015_08_7_040_R3_20_TECHREP2_ESIN01"	"XS.2015_08_7_041_R2_20_TECHREP2_ESIN01"	"XS.2015_08_7_062_R4_20_TECHREP2_ESIN01"	"XS.2015_08_7_065_R1_20_TECHREP2_ESIN01"	"XS.2015_08_7_010_R1_25_TECHREP1_ESIN01"	"XS.2015_08_7_023_R2_25_TECHREP1_ESIN01"	"XS.2015_08_7_033_R3_25_TECHREP1_ESIN01"	"XS.2015_08_7_035_R4_25_TECHREP1_ESIN01"	"XS.2015_08_7_042_R4_25_TECHREP2_ESIN01"	"XS.2015_08_7_044_R1_25_TECHREP2_ESIN01"	"XS.2015_08_7_055_R3_25_TECHREP2_ESIN01"	"XS.2015_08_7_056_R2_25_TECHREP2_ESIN01"	"XS.2015_08_7_026_R4_30_TECHREP1_ESIN01"	"XS.2015_08_7_030_R3_30_TECHREP1_ESIN01"	"XS.2015_08_7_031_R1_30_TECHREP1_ESIN01"	"XS.2015_08_7_032_R2_30_TECHREP1_ESIN01"	"XS.2015_08_7_046_R4_30_TECHREP2_ESIN01"	"XS.2015_08_7_047_R2_30_TECHREP2_ESIN01"	"XS.2015_08_7_063_R1_30_TECHREP2_ESIN01"	"XS.2015_08_7_067_R3_30_TECHREP2_ESIN01"	"XS.2015_08_7_009_R4_35_TECHREP1_ESIN01"	"XS.2015_08_7_019_R1_35_TECHREP1_ESIN01"	"XS.2015_08_7_021_R2_35_TECHREP1_ESIN01"	"XS.2015_08_7_025_R3_35_TECHREP1_ESIN01"	"XS.2015_08_7_039_R3_35_TECHREP2_ESIN01"	"XS.2015_08_7_050_R4_35_TECHREP2_ESIN01"	"XS.2015_08_7_052_R1_35_TECHREP2_ESIN01"	"XS.2015_08_7_066_R2_35_TECHREP2_ESIN01"	"XS.2015_08_7_012_R4_NC_TECHREP1_ESIN01"	"XS.2015_08_7_016_R2_NC_TECHREP1_ESIN01"	"XS.2015_08_7_022_R3_NC_TECHREP1_ESIN01"	"XS.2015_08_7_029_R1_NC_TECHREP1_ESIN01"	"XS.2015_08_7_043_R1_NC_TECHREP2_ESIN01"	"XS.2015_08_7_054_R2_NC_TECHREP2_ESIN01"	"XS.2015_08_7_057_R3_NC_TECHREP2_ESIN01"	"XS.2015_08_7_064_R4_NC_TECHREP2_ESIN01"	"XS.2015_08_7_018_QC06_ESIN01"	"XS.2015_08_7_028_QC07_ESIN01"	"XS.2015_08_7_038_QC08_ESIN01"	"XS.2015_08_7_048_QC09_ESIN01"	"XS.2015_08_7_058_QC10_ESIN01"	"XS.2015_08_7_068_QC11_ESIN01"	"XS.2015_08_7_069_QC_DILUTION_1.2_ESIN01"	"XS.2015_08_7_070_QC_DILUTION_1.4_ESIN01"	"XS.2015_08_7_071_QC_DILUTION_1.8_ESIN01"	"dilcorr"
"883"	12081	504.163304639679	359.797175357216	67	57	29	38	49	39	33	31.6830902099609	114	141	69.21826171875	53	103	87	97	49	356.806884765625	195.926513671875	232.259033203125	159.431396484375	206.477783203125	231	122	94	296.8154296875	362.238037109375	492.8662109375	354.608154296875	214	218.958740234375	233.81884765625	232.017700195312	499.714111328125	399.112060546875	623.57275390625	573	395.039306640625	261.708740234375	208	362.240234375	44.349365234375	45	44	45	31	43	41	43	239	191.852905273438	157.39208984375	210	125	174	88.6862182617188	57.2066345214844	40	-0.989044503945243
"884"	12107	502.084978210209	556.530197411253	1015.5732421875	570.0947265625	790.984375	286.912841796875	303.83447265625	519	270.744140625	272	657.5595703125	535.31201171875	428.9990234375	342.88525390625	285	223.928955078125	258.242919921875	402	892.08203125	444.328125	359.385009765625	214.988525390625	160.814208984375	324	265.715087890625	214.390869140625	321	304.902587890625	364.9921875	431.06640625	166.128295898438	344.54345703125	331	228.581298828125	781.61572265625	565.099609375	530.14892578125	405.358154296875	257.137451171875	313	350.412109375	297.501953125	866.615234375	794.51416015625	509.029052734375	682.7373046875	311.5673828125	325.19970703125	256.519287109375	289	545.14892578125	397.759765625	366.238525390625	267.5830078125	303.926025390625	210.269409179688	164.948852539062	87	78	-0.965536159405461
"885"	12116	958.779573215042	30.9888948808637	470.84375	363.9453125	564.72216796875	741.4482421875	408.8837890625	283.206787109375	219.918212890625	446.25732421875	695.990234375	711.9912109375	470.719970703125	477.985107421875	316.6845703125	511.43359375	427.986328125	461.58837890625	656.923828125	520.33935546875	441.568603515625	522.43115234375	439.8095703125	342.47802734375	366.588623046875	403.865966796875	604.7763671875	675	411.1328125	445.989501953125	449.0537109375	435.699951171875	861.24755859375	453.259033203125	849.15283203125	865.43359375	630.43017578125	740.78466796875	408.112060546875	633.95361328125	470.08203125	513.2626953125	867.02783203125	695.6201171875	713.46435546875	637.45263671875	413.67822265625	426.83642578125	520.63623046875	436.379638671875	670.4580078125	567.5595703125	320.104248046875	423.574462890625	387.35009765625	405.893310546875	330.234619140625	253.809448242188	169.347900390625	-0.987980677177715
"886"	12123	135.045077122855	522.679769951001	1380.5166015625	912.4033203125	869.06494140625	160	131	196	106	140	989	879.06982421875	313.306640625	229.55224609375	205.073120117188	186.23291015625	148.16015625	144	1409.4365234375	499.286376953125	283	185.084228515625	162	316	170	161.306640625	170	206.452880859375	220.1826171875	194.2919921875	162	178	129.722290039062	177.92529296875	1110.2216796875	1032.439453125	933.5458984375	262	225	178.17138671875	184	157.629150390625	1014.9658203125	951.962890625	475.368408203125	263	289.91455078125	141	143.348388671875	176	810.556640625	221	168	131	133.073120117188	178	94.2860717773438	87	61.52392578125	-0.952488502245992
"887"	12144	1155.09385929189	31.0679299873218	288.22021484375	134	437.4521484375	318.96923828125	194	76	91	333.090576171875	432.927001953125	658.00048828125	268.90625	265	495.1201171875	214	195	203.843505859375	562.2294921875	292.777587890625	411.177001953125	229.507690429688	212.8154296875	254.467041015625	257	178.007080078125	211.92236328125	277.25732421875	309.517333984375	203	199	162.21533203125	262.069091796875	181	487.802734375	331.853759765625	365.728759765625	191.799926757812	153.590454101562	225	282.564208984375	194.401000976562	522.46435546875	499.205810546875	299	229	353.622802734375	231.964599609375	180.74462890625	277	401.6484375	244.835205078125	274	262.867919921875	187.65576171875	314.797119140625	154.99755859375	106.212768554688	79	-0.978435445384451
"888"	12198	794.205377974079	558.480617590118	71.90673828125	48	57	38	40	52	55	41	101	141	72	78	110	58	44	53	229.445434570312	203	124	174	76	101.576843261719	217.430297851562	125	198	297.355712890625	148.789306640625	126.766662597656	147.37353515625	102	221.22021484375	175	559.22021484375	261.968994140625	143.734008789062	274.3525390625	284.730712890625	150.150024414062	162.696533203125	123	49.5213012695312	43	49.4975891113281	58.0855712890625	46	37	45	43	113	131.28955078125	115	93	60	98.95947265625	71.3829345703125	43	32	-0.994822837574169
"889"	12224	821.345943246045	607.395570989241	1812.8759765625	918.796875	1439.09765625	639	738.9921875	777.14892578125	356.1533203125	594.1572265625	1265.015625	652.35595703125	930.9833984375	796.8505859375	571	640.15625	684	762.248046875	1882.73828125	1038.326171875	650.35595703125	725.58544921875	645.79541015625	864	487.347412109375	609.73095703125	860.51220703125	479.3017578125	1108.474609375	860.0341796875	628.890625	589.8828125	589	438.13037109375	1490.4140625	1127	1045.548828125	933.34033203125	686.50048828125	597.43701171875	616.47265625	658.29150390625	1664.232421875	1062.388671875	865.74755859375	821.4365234375	643	527.18603515625	396.171630859375	600.35302734375	1079.8447265625	920.37646484375	725.91455078125	682.423828125	462.189453125	605	351.5712890625	251.1162109375	88.4470825195312	-0.97311746784695
"890"	12225	821.332549964573	607.395570989241	1812.8759765625	918.796875	1439.09765625	639	738.9921875	777.14892578125	356.1533203125	594.1572265625	1265.015625	652.35595703125	930.9833984375	796.8505859375	571	640.15625	684	762.248046875	1882.73828125	1038.326171875	650.35595703125	725.58544921875	645.79541015625	864	487.347412109375	609.73095703125	860.51220703125	479.3017578125	1108.474609375	860.0341796875	628.890625	589.8828125	589	438.13037109375	1490.4140625	1127	1045.548828125	933.34033203125	686.50048828125	597.43701171875	616.47265625	658.29150390625	1664.232421875	1062.388671875	865.74755859375	821.4365234375	643	527.18603515625	396.171630859375	600.35302734375	1079.8447265625	920.37646484375	725.91455078125	682.423828125	462.189453125	605	351.5712890625	251.1162109375	88.4470825195312	-0.97311746784695
"891"	12233	312.158175802036	595.369845206277	181.656494140625	74	98.015869140625	83.0894165039062	98	65.4592895507812	75	100	193	107	142	115.084106445312	89.0105590820312	215	123.446350097656	159	556.39794921875	144	93	120.552185058594	155.067749023438	309	126	166	202	96	316	248	188	201	318.076171875	102.369995117188	287	255.920288085938	228.8525390625	282.07666015625	214	141.275146484375	123	171.066040039062	104.978759765625	69.6422729492188	58.4416198730469	58	52.4740905761719	44	55	48	162.595092773438	216	185	213	239.987670898438	171	86	52.8280029296875	47	-0.959130802110425
"892"	12260	1003.75993507316	31.2181226496111	425.24462890625	357.05029296875	449.579833984375	770.8544921875	337.8046875	294.40625	142.293579101562	649.5908203125	1347.3115234375	1124.4033203125	468.62451171875	393	368	765.1240234375	538.810546875	551.57763671875	965.6748046875	1493.515625	1076.17578125	1245.50390625	1011.25146484375	568.83984375	729.58154296875	779.8095703125	1190.6552734375	947.75048828125	1014.60107421875	500.944091796875	884.09814453125	494.10791015625	776.123046875	820.25390625	1628.52734375	1558.474609375	1466.28515625	738.5556640625	554.83056640625	620.35498046875	659.474609375	1002.31396484375	2006.291015625	2041.1650390625	1264.6533203125	1184.3876953125	1085.08203125	1095.4736328125	498.340087890625	1007.25439453125	762.626953125	459.906005859375	591.10498046875	446.651611328125	426.923583984375	542.04296875	353.167236328125	319.22314453125	269.2177734375	-0.952923916544228
