Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,Label,Name
R1_15-1,-50.839,-15.888,7.5458,5.5919,0.38817,4.157,2.2055,-0.89292,1.8972,-1.4918,1.4663,-2.742,3.141,-1.3976,3.2322,-0.2057,-6.6477,1.8286,-0.86583,-1.6378,1.8305,2.0068,1.5676,-2.1652,-0.89644,-1.4006,-1.0529,0.58689,0.94937,1.4241,1.2049,-0.056834,-0.23132,-0.11469,-0.1613,-0.92063,-0.36276,-0.67767,0.17269,0.16263,0.056255,0.31339,0.21452,-0.019993,-0.050295,3.55E-15,15 h,R1
R1_15-2,-43.861,-17.147,6.4379,4.0135,-4.0702,-3.6698,-1.8591,2.6216,2.5334,-0.74644,2.3915,-1.3337,-1.1967,-1.4258,-3.1057,-2.4606,-4.7102,2.5884,1.6033,3.4706,-1.8647,-1.4183,-2.9824,2.4672,0.42548,0.55067,0.87452,0.19899,-1.7687,-1.0418,-1.1124,0.85644,-0.66813,-0.12883,0.048033,0.55697,0.29458,0.41568,-0.17657,-0.0062335,0.061398,-0.1669,-0.072041,0.14285,-0.013802,-1.26E-14,15 h,R1
R2_15-1,-47.281,-10.936,-3.8386,-9.7635,10.862,-4.6109,1.6814,3.5275,-4.8066,-0.76789,3.0129,1.1132,1.7868,0.12072,1.629,-0.90415,2.8783,0.98742,1.76,-1.6313,0.61219,-2.6718,0.5318,-1.4435,0.11013,-3.0843,2.2359,2.2884,-1.1091,-1.2462,0.20331,-0.488,-0.26353,0.5803,0.05329,0.22303,0.72551,0.13943,0.46179,0.92754,0.30211,-0.94036,-0.37017,0.3528,0.1529,-2.99E-15,15 h,R2
R2_15-2,-45.823,-11.517,-3.4725,-9.6348,8.0379,-6.9418,1.7295,5.3479,-5.9439,-0.70111,3.5308,2.3324,-0.050029,-0.55868,-1.6213,-2.0125,1.2685,-0.22408,1.1956,-1.5715,2.5091,2.0997,-0.21544,1.4209,0.010047,3.5683,-1.732,-2.0447,1.0314,1.179,0.01786,0.39933,0.94186,-0.17326,-0.12903,0.32221,-0.26042,-0.12447,-0.63637,-0.90799,-0.16896,0.7852,0.14114,-0.25269,0.0013937,2.62E-15,15 h,R2
R3_15-1,-36.693,-15.111,6.6578,3.23,-9.9228,7.8051,-0.2984,-4.3163,5.0826,-2.6767,1.749,4.0677,3.2765,3.3734,1.5751,2.2759,3.1832,0.75659,-0.42824,-3.0976,-0.94395,-2.72,-0.8058,1.1359,0.27565,0.2587,-0.80425,-2.3265,-1.9537,0.59393,0.54705,0.11686,0.97136,-0.31588,0.52489,0.42643,-0.48396,0.16587,0.22524,-0.35364,-0.10015,0.22343,0.031043,-0.22981,0.028842,-1.61E-14,15 h,R3
R3_15-2,-33.581,-16.141,6.1057,1.9784,-14.079,-1.1012,-1.7485,0.063978,3.576,-2.5538,1.3008,4.4434,-0.29553,1.751,-4.41,0.31916,2.9174,-1.7995,-0.70541,1.6901,-0.22808,2.9356,1.4312,-1.583,0.17976,0.26114,0.80009,2.4399,2.593,-1.092,-0.18711,-0.86547,-0.23022,0.94533,-0.25624,-0.28554,0.42492,-0.17982,-0.40392,0.27212,0.25473,-0.24406,0.013165,0.18185,-0.15549,-6.36E-15,15 h,R3
R4_15-1,-48.383,-8.139,-2.0766,2.6506,5.6386,2.4877,3.4437,-5.0781,-0.4899,4.287,0.4254,-5.6528,-3.5888,0.87048,4.1918,2.5507,0.90833,-3.5642,-1.5913,-0.24809,-0.91052,3.0667,-0.70683,2.1313,2.4946,0.40956,1.1013,-0.38976,-0.60499,-1.5916,-0.32899,-0.44781,-0.11923,1.2091,0.10393,0.34302,-0.1244,0.14498,-0.32009,0.18156,0.183,-0.41013,-0.2024,0.27335,-0.010214,-5.35E-16,15 h,R4
R4_15-2,-44.647,-9.465,-2.513,0.80041,1.0092,-4.5062,1.0433,-1.4582,-1.0286,3.9309,-0.14065,-4.7599,-5.5037,0.57019,-1.32,1.8804,2.2026,-0.8016,-1.9412,2.2385,-1.5031,-3.5001,1.0022,-2.0798,-2.7561,-0.25183,-1.5927,-0.43737,1.0495,1.7431,-0.30612,0.22356,-0.29568,-1.4775,0.0067897,-0.49255,-0.15925,0.037362,0.59951,-0.24421,-0.58243,0.57837,0.13136,-0.52479,0.12575,-2.05E-14,15 h,R4
R1_20-1,-28.927,10.199,7.0176,8.0749,-3.6455,0.48911,-1.4611,1.7771,-1.1449,1.1291,-6.7224,-2.3997,4.656,-5.1515,2.7544,-1.6121,3.6239,0.088057,0.36925,-0.48255,-0.67442,0.19925,-0.92753,-0.18187,0.1178,1.5673,-1.7159,3.1876,-0.13221,0.51584,-2.0478,0.90178,0.32179,-0.77676,-0.60941,0.95167,-0.50959,0.72979,-0.076722,-0.13769,-0.18291,0.27036,-0.10736,0.43607,0.052771,-9.55E-15,20 h,R1
R1_20-2,-27.046,7.9444,5.737,7.2393,-4.9251,-2.2857,-0.50054,5.9265,-1.6224,0.50301,-6.2983,-0.81796,2.8534,-3.3477,-0.5901,-1.8479,-0.39638,-3.6889,-0.14271,1.5322,0.84709,-2.206,2.07,-0.20578,1.2167,-0.343,1.529,-3.773,0.08125,-0.94057,1.6968,-1.2238,0.12,0.63956,-0.20175,-0.48218,0.45524,-0.83608,-0.29419,-0.28438,0.27912,-0.51552,0.0099596,-0.3469,0.02481,-1.31E-14,20 h,R1
R2_20-1,-24.647,12.519,-4.2655,-9.5935,0.66012,11.818,-1.7834,-0.093217,-5.1624,-6.4174,-2.0202,2.4267,0.16706,2.8564,2.6304,-0.34485,-1.862,0.22146,-2.7456,1.9662,0.46288,-0.74854,-0.38696,-0.73823,0.057621,2.0031,2.1345,-0.60622,1.0821,0.069449,-2.8414,0.61747,-0.42939,-0.91053,0.1531,-1.1137,0.71968,0.45134,0.36068,0.78178,-0.39014,-0.52051,0.10029,-0.57044,-0.18815,-8.21E-15,20 h,R2
R2_20-2,-22.365,10.564,-3.501,-9.3489,-1.9354,3.8683,-4.4244,1.9221,-4.2131,-5.2842,-3.907,1.6073,-1.2955,-0.011955,0.95229,0.26224,1.1796,0.41261,-0.31811,3.0288,-1.3065,2.7891,-2.2231,0.89815,-1.7999,-3.5735,-1.9567,-0.58212,-0.89078,0.56804,2.5347,-0.0064998,-0.49565,0.61509,0.41451,0.8177,-0.80295,0.051997,-0.10525,-0.37521,0.24963,0.42286,-0.19752,0.45155,0.16498,-1.04E-14,20 h,R2
R3_20-1,-22.197,16.815,-1.3028,-3.2801,2.0506,7.2649,11.121,0.24947,1.8121,5.5119,-2.2087,2.9504,0.45445,0.12546,-1.2372,3.7687,-1.8482,0.83391,0.57323,0.30545,1.4974,-2.0998,-0.79899,2.762,-1.3396,1.293,-0.36536,2.1663,1.9048,-1.0415,1.9295,-1.3451,-0.22361,0.081094,-0.048824,0.69723,1.101,-0.54044,-0.10905,-0.17429,-0.15808,0.55646,-0.24764,0.31088,0.091552,-1.06E-14,20 h,R3
R3_20-2,-19.445,13.825,-1.6355,-4.2093,-1.4474,-0.40067,8.4279,1.9594,2.0643,4.7938,-1.6808,2.8633,-0.54681,-0.43406,-2.0189,3.092,0.14574,2.6758,1.6862,0.99663,-0.47988,1.6505,3.758,0.45237,2.2746,-1.745,0.19093,-0.86708,-1.4771,1.3362,-1.5179,2.2805,0.039308,-0.43412,-0.085289,-1.2393,-0.95618,0.99239,-0.088474,0.35401,0.60952,-0.036194,0.5366,0.1472,-0.13021,-1.22E-14,20 h,R3
R4_20-1,-16.516,10.381,-9.7714,0.12083,-6.2621,1.7158,-9.1889,-4.7316,-2.0114,5.8859,-1.3031,-0.82414,-1.4818,1.2388,0.11155,-0.78002,0.037612,2.402,2.8008,-0.40569,1.3871,0.61948,0.24517,-2.6208,-1.8107,2.4907,1.2397,0.13506,-2.0311,-1.8745,0.86745,0.5706,0.43766,1.2223,1.5648,-1.2242,-0.87158,-1.1148,-0.032569,-0.76421,-0.046044,0.4708,-0.057028,0.39095,0.080218,-8.69E-15,20 h,R4
R4_20-2,-15.979,9.1137,-9.582,-0.089955,-7.689,-0.80646,-7.8886,-2.9759,-1.5688,4.8784,-1.8651,0.9476,-2.2164,3.2788,-0.36132,-1.4198,-2.4886,-1.4397,3.6232,-2.5903,0.47855,-0.23328,-1.6641,-0.58811,1.981,-2.0238,-1.027,-0.41912,1.7824,1.4809,-0.84918,-0.63216,0.17383,-0.58027,-1.8317,1.5012,1.0548,0.40041,0.39035,0.39769,-0.32544,-0.9093,0.060934,-0.56868,-0.11581,-8.80E-15,20 h,R4
R1_25-1,0.32125,14.677,8.8301,13.677,7.2751,8.1258,-2.419,-2.8639,-1.7605,-1.7979,4.9036,0.75274,-2.36,-1.9668,-2.5457,-0.76414,0.72533,-1.681,0.051845,-0.30263,1.7535,-1.2806,-1.0075,0.078076,0.21109,-1.3517,0.24795,0.95587,-0.2042,2.2941,-0.45165,0.68502,0.62521,1.8173,0.97171,-1.2033,0.65456,0.57033,-2.5449,-0.9491,0.91402,0.18251,-0.46392,-0.40612,-0.35494,-1.73E-14,25 h,R1
