,R1_15-1,R1_15-2,R2_15-1,R2_15-2,R3_15-1,R3_15-2,R4_15-1,R4_15-2,R1_20-1,R1_20-2,R2_20-1,R2_20-2,R3_20-1,R3_20-2,R4_20-1,R4_20-2,R1_25-1,R1_25-2,R2_25-1,R2_25-2,R3_25-1,R3_25-2,R4_25-1,R4_25-2,R1_30-1,R1_30-2,R2_30-1,R2_30-2,R3_30-1,R3_30-2,R4_30-1,R4_30-2,R1_35-1,R1_35-2,R2_35-1,R2_35-2,R3_35-1,R3_35-2,R4_35-1,R4_35-2,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
Label,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,35,QC,QC,QC,QC,QC,QC
600.987578810307/716.411201829581,8.641864,9.877789,9.69236,9.34192,10.485484,10.474917,10.495613,10.52926,11.726754,11.850137,13.253846,13.467442,12.983117,12.771374,14.400124,14.287764,14.561472,14.392222,14.305518,14.181752,14.448028,14.50283,16.174413,16.251784,16.020407,15.939172,15.849232,15.705616,15.353229,15.231378,17.066495,17.062992,16.363386,16.340408,16.246587,16.165822,15.746162,15.752695,17.98392,18.174886,16.109378,16.093587,16.109378,16.100617,15.999343,15.863285
551.979177374589/734.288142210469,12.88933,12.99235,13.25525,13.15538,14.82548,14.38961,14.48163,14.25763,17.12089,16.79739,17.70889,17.59178,17.8674,17.66618,16.90113,16.8271,17.80956,17.72376,18.16629,18.1167,18.35754,18.37953,17.72214,17.70795,17.90652,17.73964,18.52502,18.4629,18.68119,18.59413,17.97755,17.99414,17.91661,17.81725,16.98151,16.83096,18.24618,18.38668,17.85919,17.88561,17.64464,17.68222,17.67536,17.62426,17.5764,17.46877
553.087545829907/736.285491596611,12.54467,12.11796,12.56577,12.77488,14.29372,13.87532,13.92632,13.5236,16.55293,16.25654,17.21937,17.09844,17.31539,17.12065,16.38167,16.24804,17.31736,17.26699,17.62787,17.60317,17.85675,17.85464,17.23646,17.19049,17.40297,17.25032,18.03302,17.96982,18.20677,18.09579,17.48301,17.49067,17.40051,17.33371,16.45828,16.34189,17.78068,17.86707,17.37369,17.39275,17.12065,17.19221,17.16788,17.07753,17.10429,16.8904
666.216563442297/298.179119154227,14.26366,13.3257,13.86151,13.5811,16.57103,15.4067,15.65655,14.73803,16.34376,15.57152,17.02268,16.68541,16.21187,15.81794,17.40604,17.09283,17.64449,17.27687,16.5664,16.12493,16.50432,16.19714,17.22941,17.19089,17.45973,17.08871,16.68388,16.52977,16.41175,15.89485,16.75548,16.59115,16.6555,16.28159,16.90911,16.38591,16.60661,16.5262,17.1119,16.81178,16.68482,16.51863,16.44334,16.27215,16.17703,16.09222
671.458654570998/282.1842462503,16.58539,15.95968,15.52703,15.37563,16.83317,16.04974,16.11916,15.4699,18.47024,18.03577,18.35638,18.03367,17.15291,16.66448,18.54661,18.48218,18.75101,18.28824,18.05366,18.06605,17.46144,17.43245,18.07069,18.06629,17.95086,17.92006,18.07269,17.81932,17.43307,17.4507,17.65994,17.39101,18.0572,17.94914,18.09435,17.97176,17.6389,17.4552,17.86556,17.75334,17.91844,17.70811,17.59711,17.88201,17.79335,17.5249
601.289013243558/717.413930163614,8.156444,8.98117,9.468639,8.552845,9.62068,9.706734,9.25057,9.806937,10.593446,10.535299,11.967882,11.966981,11.352182,11.302079,12.961992,12.971561,13.299891,13.048151,12.797638,12.997921,13.15378,13.167562,14.948837,14.965782,14.840355,14.66266,14.492566,14.390957,14.062409,13.871673,15.906172,15.859555,15.196214,15.14803,15.041395,14.962152,14.530645,14.588453,16.802477,17.043456,14.840355,14.836863,14.822149,14.753612,14.697138,14.594911
551.949042069285/735.291826884808,11.50394,10.67924,11.75294,11.48785,12.83981,12.88872,12.61614,12.31037,15.41954,14.99601,16.08438,15.88531,16.23573,16.02716,15.21962,15.07894,16.26379,16.16903,16.55363,16.55133,16.81941,16.80406,16.12597,16.10732,16.35386,16.17689,16.95666,16.89807,17.1362,17.04471,16.42935,16.40763,16.35824,16.30962,15.38392,15.25778,16.73332,16.82897,16.32413,16.35472,16.0711,16.12151,16.10685,16.01555,15.97509,15.83808
599.109802246094/717.413812286986,8.156444,8.98117,9.468639,8.552845,9.62068,9.706734,9.25057,9.806937,10.593446,10.535299,11.967882,11.966981,11.352182,11.302079,12.961992,12.971561,13.299891,13.048151,12.797638,12.997921,13.15378,13.167562,14.948837,14.965782,14.840355,14.66266,14.492566,14.390957,14.062409,13.871673,15.906172,15.859555,15.196214,15.14803,15.041395,14.962152,14.530645,14.588453,16.802477,17.043456,14.840355,14.836863,14.822149,14.753612,14.697138,14.594911
392.169738234135/562.166461223046,13.08991,12.13639,12.17168,12.1597,13.88677,12.33384,13.08544,11.73454,14.5739,14.21783,15.76327,14.7075,16.00662,15.11163,14.48275,14.34869,16.4948,15.61506,16.08983,15.37526,16.24063,16.16637,15.15365,15.21214,15.90419,15.81632,16.29679,16.23322,16.32721,16.42972,15.67544,15.51523,16.66729,15.6993,17.17727,16.48226,16.54618,16.52169,15.9848,15.21042,16.3317,15.4583,15.61572,15.30186,15.23873,15.399
