Sample,R1_15-1,R1_15-2,R2_15-1,R2_15-2,R3_15-1,R3_15-2,R4_15-1,R4_15-2,R1_20-1,R1_20-2,R2_20-1,R2_20-2,R3_20-1,R3_20-2,R4_20-1,R4_20-2,R1_25-1,R1_25-2,R2_25-1,R2_25-2,R3_25-1,R3_25-2,R4_25-1,R4_25-2,R1_30-1,R1_30-2,R2_30-1,R2_30-2,R3_30-1,R3_30-2,R4_30-1,R4_30-2,R1_35-1,R1_35-2,R2_35-1,R2_35-2,R3_35-1,R3_35-2,R4_35-1,R4_35-2,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
Time,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,35,QC,QC,QC,QC,QC,QC
600.987578810307/716.411201829581,105,175,181,133.053833,300.4804688,218,419,344.2148438,1357.453125,1180.382813,5389.234375,4407.933594,4897.683594,3109.050781,11437.80469,8571.734375,31832.98438,16070.3125,16612.10938,9877.007813,20735.625,16341.32031,63163.15625,61692.59375,100953.375,72622,54365.40625,42908.84375,46365.34375,32611.4375,186394.625,137316.25,130320.8125,81363.625,119861.9375,67926.6875,108257.6875,80597.3125,818621.5,448002,70697.8125,58262.4375,49649.3125,43806.875,38436.46875,36267.9375
551.979177374589/734.288142210469,1994.369141,1515.702148,2139.019531,1870.660156,6085.367188,3287.728516,6639.34375,4562.28125,57085.09375,36416.15625,118202.8125,76875,144646.125,92493.25,64747.09375,49829.21875,302446.25,161777.125,241341.5,151064.5,311599,240043.25,184661.875,169270.75,373163,252967.25,347388.75,290115.5,465595,335475.25,350499,261834,382454.25,226466.625,199487.125,107713.0625,612407,500297.25,750820,366606,204910.625,175233.125,147001.5,125951.6875,114679.3125,110362.4375
553.087545829907/736.285491596611,1570.554688,826.7919922,1326.358398,1436.987305,4209.296875,2301.869141,4518.15625,2742.933594,38507.84375,25031.29688,84191.6875,54610.28125,98658.5,63370.875,45169.6875,33355.65625,215020.875,117873.125,166169.625,105821.8125,220214.25,166833.125,131877.625,118253.25,263217,180203.625,247005.75,206129.5,335117,237488.5,248781.625,184698.875,267435.25,161973,138806,76743.875,443515,348989.25,536273,260515,142504.5,124769.5625,103407.8125,86223.0625,82673.5625,73912.1875
666.216563442297/298.179119154227,5170.355469,1909.694336,3256.244141,2512.744141,20405.48438,6653.820313,14990.28125,6364.941406,33310.6875,15569.375,73461.5,41014.71875,45913.78125,25688.35938,91878.5625,59907.1875,269748.5,118683.0625,79619.4375,37982.125,86242.75,52883.96875,131235.375,118285.75,273779.75,161106.5,96956.75,75969.875,96569.5,51653.0625,150247.625,99010.625,159569.625,78113.4375,189723.75,79121.375,196553.5,137774.375,447280,174157.75,105349,78223.8125,62581.4375,49337.84375,43474.34375,42504.90625
671.458654570998/282.1842462503,25848.26563,11854.17188,10329.76563,8716.757813,24471.46875,10390.71875,20657.09375,10570.88281,145450.75,85917.75,185157.875,104425.5,88150.125,46192.28125,202562.125,156932.625,580838,239245.125,223217.875,145853.25,167434,124506.5,235125.75,216997.625,384809,286664.75,253893,185709.75,196014.125,151863,281239.75,172371.625,421601,248145.25,431433.75,237510,402003.5,262317,754141,334488.25,247735.125,178405.25,139240.125,150589.25,133288.375,114741.375
601.289013243558/717.413930163614,75,94,155,77,165,128,176.7739258,208.6356201,618.8212891,474.4790039,2210.107422,1557.942383,1581.359375,1122.860352,4221.0625,3442.328125,13277.10938,6330.21875,5841.277344,4347.671875,8454.921875,6476.367188,27010.25,25299.26563,44554.3125,29977.79688,21228.79688,17250.23438,18950.39063,12707.4375,83395.25,59628.125,58030.96875,35603.1875,51985.46875,29491.6875,46617.78125,35962.40625,360938.5,204496.375,29335.39063,24382.4375,20343.17188,17220.79688,15586.21875,15055.8125
551.949042069285/735.291826884808,763.4194336,305,755.0512695,588.8691406,1536.52832,1161.675781,1822.02832,1183.032227,17553.46875,10447.82031,38335.59375,23555.14063,46679.375,29697.34375,20185.26563,14833.28125,103591.8125,55067.8125,78917.875,51043.3125,107293.8125,80542.5625,61077.375,55814.375,127203.8125,85630.625,117136.4375,98064.0625,159559,114613.5625,119848.375,87184.1875,129856.9375,79645.4375,65916.4375,36198.6875,214597.25,169946.375,259081.125,126868.8125,68846.625,59401.15625,49562.5625,41298.65625,37795.71875,35639.84375
599.109802246094/717.413812286986,75,94,155,77,165,128,176.7739258,208.6356201,618.8212891,474.4790039,2210.107422,1557.942383,1581.359375,1122.860352,4221.0625,3442.328125,13277.10938,6330.21875,5841.277344,4347.671875,8454.921875,6476.367188,27010.25,25299.26563,44554.3125,29977.79688,21228.79688,17250.23438,18950.39063,12707.4375,83395.25,59628.125,58030.96875,35603.1875,51985.46875,29491.6875,46617.78125,35962.40625,360938.5,204496.375,29335.39063,24382.4375,20343.17188,17220.79688,15586.21875,15055.8125
392.169738234135/562.166461223046,2291.851563,837.4248047,1009.321289,938.1333008,3174.726563,790.7685547,2522.494141,793.6972656,9767.914063,6092.121094,30685.90625,10411.85938,39825.09375,15743.96094,12111.98438,8941.507813,121581.4375,37509.03125,57221,22589.59375,71836.4375,51768.25,31130.35938,30010.14063,93139.875,66693.9375,74139.75,61854.4375,91073.5625,74835.5,71069.8125,46967.5625,160878.5,52172.1875,228478.625,84585.8125,188490.5,137344.875,204779.625,57396.5,82477,37510.125,35262.15625,25182.1875,22686.98438,26288.14063
